プロローグ,神父ジムゾン,村人,ﾌﾋｯ
プロローグ,少年ペーター,霊能者,>>112  兵シモン兄ちゃんありがとう！【議題確認】したよ◎あとちょっとだなぁ…みんなよろしくね！
プロローグ,村娘パメラ,村人,>>112兵　ほんと？ありがと！私は地味なものしか作れないのよー。おしゃれな料理は若い子たちにまかせるわ。明日からもがんばる。>>115羊　実は私も…ｗ　＞メモ
プロローグ,司書クララ,村人,ドキドキしますねー。【重要CO　実は私の左目…メガネが光ってると見せかけてものもらいの眼帯なんです…】
プロローグ,青年ヨアヒム,人狼,【議題確認】したよー！さて、【石仮面被るか・・・】
プロローグ,ならず者ディーター,村人,>>112  シモン夜明けの議題助かるぜ！【仮21:15/本21:45 了解】【夜明け後の議題確認】ドキがムネムネするな！
プロローグ,旅人ニコラス,狂人,あ、トマさん、できればアンカーの0を減らして欲しいな。飛びにくくて・・・【書の邪気眼CO確認】.。o(パメちゃんって若くないの？十分若く見えるけどなぁ）
プロローグ,負傷兵シモン,人狼,>>115羊すまんカタリナ、初心者村だし議題回答にみんな準備できるようにと思ってフライングさせてもらった。羊見つかってよかったな。
プロローグ,木こりトーマス,村人,>>122 ニコラスあ、悪い。今度から気をつける。すまない。>>112 シモン議題感謝。【夜明け後の議題確認した】
プロローグ,村娘パメラ,村人,【青の吸血鬼フラグ確認】>>122旅　ふふふ、それ以上掘り下げちゃダメよ～わーほんとどきどきしてきた！先に謝っておこう。なんかやらかしちゃったらごめんなさい！
プロローグ,青年ヨアヒム,人狼,>>120安価test
プロローグ,司書クララ,村人,【夜明けの議題確認しました】と言うことは、1日目の占い候補はヨアヒムさんですね？溶けてしまわないか心配です…ハムスターじゃないから大丈夫なんでしたっけ？
プロローグ,羊飼いカタリナ,占い師,羊たちが…何かに怯えてる…？
プロローグ,旅人ニコラス,狂人,樵>>124ありがと！娘>>125Σ(ﾟдﾟlll).。o（よ・・読まれてるぅーー！声にだしてないのに！）どきどきしてきたね！
プロローグ,神父ジムゾン,村人,さまよえる子羊達よ、私の胸に飛び込んできなさいっ
プロローグ,ならず者ディーター,村人,>>125  パメラ俺も謝っておこう！ごめんなさい！>>allとにかくみんなで楽しもうぜ！希望の村ばんざい！
プロローグ,少年ペーター,霊能者,>>120 青ヨアヒム兄ちゃん、人間をやめちゃうの…？わぁああぁぁ…どきどきどき！
プロローグ,老人モーリッツ,村人,ところで、ばあさんはどこじゃ
プロローグ,司書クララ,村人,……おや、こんなところに『弓と矢』が…えいっ[3本の矢はどこかへ飛んでいった]
